rank,gene_id,tcga_cox_p,cptac_cox_p,is_literature_curated
624,ENSG00000128654.14,0.0226304905929026,0.0587489399701434,False
625,ENSG00000101938.15,0.0074342552763686,0.0742863651601744,False
626,ENSG00000077157.22,0.0448161878863114,0.0372137442182631,False
627,ENSG00000131781.13,0.0679293112694992,0.0142612476190235,False
628,ENSG00000197123.9,2.297813477051404e-09,0.0824094171565467,False
629,ENSG00000152778.9,0.0439320433273165,0.0385656020790822,False
630,ENSG00000174442.12,0.0255965621073781,0.0570847123648735,False
631,ENSG00000198624.13,0.0517688998858854,0.0309445698169492,False
632,ENSG00000173281.5,0.0179437608603147,0.0647767494141978,False
633,ENSG00000146072.6,0.0113380786268736,0.0715538377475218,False
634,ENSG00000175166.17,0.0160704961080853,0.0668560761940204,False
635,ENSG00000162961.14,0.0077142085871244,0.075299753095812,False
636,ENSG00000124785.9,0.0575093057961008,0.0256685340897533,False
637,ENSG00000169271.3,0.0775249701444481,0.0057315839255657,False
638,ENSG00000205002.4,0.0593694421133356,0.0241689468148277,False
639,ENSG00000106591.4,0.0778719698229925,0.0057208627776848,False
640,ENSG00000172995.16,0.0804379672128856,0.0031661992198811,False
641,ENSG00000116030.17,0.0039308740270672,0.0799902779231494,False
642,ENSG00000182389.20,0.0299702493858239,0.0540152206734795,False
643,ENSG00000092051.17,0.0589950405738236,0.0249951476201357,False
644,ENSG00000181381.14,0.0003081483037256,0.0838099022104513,False
645,ENSG00000105929.16,0.0318271169666041,0.0523906526287082,False
646,ENSG00000187772.8,0.0284918731956661,0.0558004536174816,False
647,ENSG00000163814.8,0.0232783272972046,0.06101696341208,False
648,ENSG00000185798.8,0.0788767027333189,0.0054304436914203,False
649,ENSG00000136490.9,0.058201246102522,0.0261142361373456,False
650,ENSG00000108669.16,0.0054166066165864,0.0789314551223526,False
651,ENSG00000126217.21,0.0453242942363795,0.0390935424833315,False
652,ENSG00000170677.6,0.0083021263122257,0.0762041056286082,False
653,ENSG00000187742.15,0.0020055020785902,0.0826273381632782,False
654,ENSG00000161800.13,0.0029175395777618,0.0818359387972372,False
655,ENSG00000151746.15,0.0373302566639068,0.0474393967281687,False
656,ENSG00000110958.16,0.0776890996332713,0.0072819431032606,False
657,ENSG00000196814.15,0.0058951932743555,0.0791367795464546,False
658,ENSG00000144118.14,0.0031182933477027,0.0819801971847457,False
659,ENSG00000050438.17,0.0659548706260218,0.01918317456524,False
660,ENSG00000149091.15,0.0459656113972579,0.0391844447811267,False
661,ENSG00000095370.20,0.0623995031859423,0.0228677556746992,False
662,ENSG00000235194.9,0.041059696482584,0.0443162794790946,False
663,ENSG00000183813.7,0.0833108508278207,0.0023880356980959,False
664,ENSG00000139193.4,0.0696619022892119,0.0161977514737932,False
665,ENSG00000186832.9,0.0460402581897881,0.0401122096644112,False
666,ENSG00000053702.15,0.0089123828520289,0.0773983773987611,False
667,ENSG00000162706.13,0.0123864338463398,0.0743050587111649,False
668,ENSG00000138035.15,0.0363163716677593,0.050473264041771,False
669,ENSG00000120008.16,0.0664356295803025,0.0203554057525651,False
670,ENSG00000172724.12,0.0794477068988687,0.0075668704627888,False
671,ENSG00000188064.10,0.0531737247482155,0.0339423890620118,False
672,ENSG00000152580.8,0.0127276808949693,0.0747184177703638,False
673,ENSG00000142599.19,0.0234868531264142,0.0641818069035672,False
674,ENSG00000177465.4,0.0067893679505168,0.0812458228809394,False
675,ENSG00000056972.20,0.0808691128318062,0.0072088523655672,False
676,ENSG00000160097.20,0.0442951707176998,0.0438635967036811,False
677,ENSG00000124203.6,0.0377689885636288,0.0504172962628904,False
678,ENSG00000177272.9,0.0595432493694754,0.0287157996420797,False
679,ENSG00000266714.9,0.0333668642528448,0.0554230228305275,False
680,ENSG00000162241.12,0.0483266030302156,0.0404879333867569,False
681,ENSG00000167004.13,0.0204129748072128,0.0684163343590252,False
682,ENSG00000204084.13,0.0442851682466709,0.0446523837721328,False
683,ENSG00000058804.12,0.0128274479517976,0.0762513177565143,False
684,ENSG00000125245.13,0.0738800126230028,0.0152150499901709,False
685,ENSG00000256060.3,0.0488543874341645,0.0403138481866613,False
686,ENSG00000170381.14,0.0752065210176429,0.0141255272633183,False
687,ENSG00000187912.12,0.0644359310438931,0.0249192105184212,False
688,ENSG00000133069.17,0.0615910761065152,0.0278945112360471,False
689,ENSG00000169248.13,0.0023419114897691,0.0873862854632974,False
690,ENSG00000103199.14,0.0558748129498294,0.0338728847143279,False
691,ENSG00000135083.16,0.0627432058051642,0.0272720533600661,False
692,ENSG00000165716.11,0.0673848392476437,0.022787300024443,False
693,ENSG00000198373.13,0.0721804907307298,0.0182371730851408,False
694,ENSG00000180398.13,0.085417291527684,0.0050415935643281,False
695,ENSG00000147044.22,0.0328479072733013,0.0577044490261984,False
696,ENSG00000165164.14,0.0136517559536166,0.0770385804099889,False
697,ENSG00000152952.12,0.0476272628773093,0.04315802344661,False
698,ENSG00000009790.15,0.0621369935042919,0.0288480644515372,False
699,ENSG00000163606.11,0.0657068344557731,0.0253420589168667,False
700,ENSG00000004776.13,0.0263270689002089,0.064977450169003,False
701,ENSG00000119121.22,0.0579935454778417,0.0333283614204694,False
702,ENSG00000121413.13,0.0838942862162326,0.0075564558465772,False
703,ENSG00000144891.18,0.0344198636208881,0.057153972941476,False
704,ENSG00000119922.10,0.0064605087570761,0.0852286370234206,False
705,ENSG00000137806.10,0.059042384540094,0.0327315158482482,False
706,ENSG00000106355.10,0.0045629191225745,0.0872262396161291,False
707,ENSG00000182162.11,0.0871813142898039,0.0047563777425243,False
708,ENSG00000111245.17,0.0131386846652674,0.0789213224202095,False
709,ENSG00000164076.17,0.0679973486223067,0.0241120318821988,False
710,ENSG00000074755.15,0.0009065914613227,0.0913040872481451,False
711,ENSG00000086717.18,0.0612710805820379,0.0309706263717228,False
712,ENSG00000055118.16,0.0230019470771841,0.0693338800789993,False
713,ENSG00000116991.11,0.0033279295611558,0.0891522926190793,False
714,ENSG00000129566.13,0.0583654913234492,0.0343058081803875,False
715,ENSG00000283930.1,0.0789413982632776,0.0137423230835344,False
716,ENSG00000188778.6,0.0869567169719084,0.0058057889454694,False
717,ENSG00000175463.12,0.0838780975339607,0.0089720293478304,False
718,ENSG00000106031.9,0.0814213885756846,0.0114605738835977,False
719,ENSG00000250803.6,0.0873955407935924,0.0054985222051298,False
720,ENSG00000283992.2,0.001125390570709,0.091894306654032,False
721,ENSG00000160219.12,0.0515970852220441,0.0417912218043281,False
722,ENSG00000117632.23,0.0383103241444658,0.0551242291926837,False
723,ENSG00000178021.11,0.0723997074479322,0.0210700005793996,False
724,ENSG00000104412.8,0.055371944024535,0.0381876648730536,False
725,ENSG00000178562.18,0.0819102931596708,0.0117042811895399,False
726,ENSG00000142731.11,0.0115552805586445,0.0821805949059758,False
727,ENSG00000106069.23,0.0883564563565243,0.0056812069528514,False
728,ENSG00000142661.19,0.0157234193752517,0.0784582703124261,False
729,ENSG00000166105.16,0.0266490988820439,0.0676068718264531,False
730,ENSG00000182117.6,0.0029128548016455,0.0913863348871936,False
731,ENSG00000243646.10,0.0857669724847425,0.0088760895030874,False
732,ENSG00000171489.10,0.0342115286612392,0.0605514509782252,False
733,ENSG00000138315.13,0.0309289195596564,0.0638362271453416,False
734,ENSG00000126814.7,0.0944797791159026,0.0002907934911614,False
735,ENSG00000109805.10,0.0087493740368627,0.0860575351199949,False
736,ENSG00000264424.1,0.0796127606954484,0.015374732456283,False
737,ENSG00000188559.15,0.0858543280444369,0.0094988335045978,False
738,ENSG00000137571.11,0.048555596009439,0.0469705622138845,False
739,ENSG00000138594.14,0.0009717564743746,0.0946601238668913,False
740,ENSG00000196456.13,0.0693337923306944,0.0263088626875026,False
741,ENSG00000161040.16,0.0165289383926811,0.079331397302922,False
742,ENSG00000100528.12,0.0919782844642901,0.003913846006422,False
743,ENSG00000171451.14,0.082381021680268,0.0136825176292705,False
744,ENSG00000185787.15,0.0939773503989382,0.0021518094614289,False
745,ENSG00000092108.22,0.0154651275320569,0.0806849954482787,False
746,ENSG00000185674.9,0.0131933995271332,0.0831467654229024,False
747,ENSG00000134571.11,0.0772567534054131,0.0191448513992908,False
748,ENSG00000094804.12,0.0470528605528235,0.0495788209501358,False
749,ENSG00000122958.15,0.0086273724517731,0.0880846885649061,False
750,ENSG00000187634.12,0.0716777843341554,0.0252364463567516,False
751,ENSG00000179344.16,0.0591661742265138,0.0378178817547239,False
752,ENSG00000101098.13,0.0481227746902549,0.0493441394384233,False
753,ENSG00000158683.9,0.028415004431905,0.0691251978223039,False
754,ENSG00000183960.9,0.0176814044475586,0.0799426293205755,False
755,ENSG00000128266.9,0.0879156654982721,0.0099363902722249,False
756,ENSG00000100526.20,0.001358072981588,0.0966112359369092,False
757,ENSG00000130303.13,3.413276939897801e-05,0.0979397709433773,False
758,ENSG00000139219.19,0.055248221148028,0.0427669579660269,False
759,ENSG00000121671.12,0.0028912435626389,0.0952121859850886,False
760,ENSG00000127952.17,0.0028893799600428,0.0952314054211127,False
761,ENSG00000261857.7,0.0748751155594875,0.0232492880687363,False
762,ENSG00000108515.18,0.0402599415193596,0.0579502763718801,False
763,ENSG00000110777.12,0.0312176335514478,0.0671246017077794,False
764,ENSG00000032444.17,0.082277232034396,0.0161017983212843,False
765,ENSG00000136098.17,0.0934090028514026,0.0050130102790991,False
766,ENSG00000141052.18,0.0629648116394388,0.0357083412643994,False
767,ENSG00000185774.16,0.0679750862043731,0.0307779838127968,False
768,ENSG00000137251.16,0.0322481197603109,0.0666481324524841,False
769,ENSG00000129515.20,0.0476499224542187,0.051771219838908,False
770,ENSG00000157796.18,0.0712030024727409,0.0282359779326537,False
771,ENSG00000127366.5,0.0337260230573157,0.065783956322675,False
772,ENSG00000113575.10,0.0115001568755545,0.0881297829449673,False
773,ENSG00000168092.14,0.0142682679205331,0.0854581024679556,False
774,ENSG00000163162.9,0.0275982235130715,0.07258583896828,False
775,ENSG00000167037.19,0.0259775685314837,0.0743732092393352,False
776,ENSG00000133773.12,0.05329584167447,0.0471753725014968,False
777,ENSG00000205356.10,0.0110612470022057,0.0896024973625772,False
778,ENSG00000137959.16,0.0107597476404382,0.090072788397816,False
779,ENSG00000115827.14,0.091756872469047,0.0091728314520028,False
780,ENSG00000136156.15,0.0257574427270068,0.0753629070537733,False
781,ENSG00000102172.16,0.0402690767463015,0.0609603704326277,False
782,ENSG00000087250.9,0.0721419562655555,0.0290942928435236,False
783,ENSG00000164944.12,0.0931689567624561,0.0082310242664316,False
784,ENSG00000172943.20,0.0719770927440747,0.0294390864654202,False
785,ENSG00000220008.3,0.0841716558286355,0.0175166737350012,False
786,ENSG00000162144.10,0.0235658257722511,0.0783126007050611,False
787,ENSG00000188042.8,0.0255912526381488,0.0765970864732381,False
788,ENSG00000198205.6,0.0108112020192708,0.0914377843418647,False
789,ENSG00000126787.13,0.0010392734612983,0.1013630626888593,False
790,ENSG00000128463.13,0.0028184321218636,0.0999935933712921,False
791,ENSG00000197943.10,0.0996860251798926,0.0032392434819134,False
792,ENSG00000041357.16,0.0002115976239968,0.1030370820634913,False
793,ENSG00000189046.11,0.0041674006748507,0.099123223651557,False
794,ENSG00000180884.10,0.0891489475072561,0.0142226981136879,False
795,ENSG00000087903.13,0.0112747549457912,0.092448759757194,False
796,ENSG00000198010.13,0.0849533825410928,0.0190295094232716,False
797,ENSG00000091127.14,0.0973511603445902,0.0068163758937117,False
798,ENSG00000205208.5,0.1005458382659599,0.0037700378503833,False
799,ENSG00000274736.5,0.0883004485547388,0.0160234923762823,False
800,ENSG00000104442.10,0.0555949257939745,0.0489353595010208,False
801,ENSG00000169972.12,0.0859861241834536,0.0186696258554066,False
802,ENSG00000116752.6,0.0377552704814017,0.0669285012232113,False
803,ENSG00000187688.15,0.0110562254469453,0.0936580246512999,False
804,ENSG00000130511.16,0.0613299861354122,0.0433962577570623,False
805,ENSG00000134321.12,0.0009914224153903,0.1037620883885426,False
806,ENSG00000181523.13,0.0392613854132727,0.0658039754312814,False
807,ENSG00000172331.12,0.0404927187126091,0.0645985497898868,False
808,ENSG00000127947.16,0.0941697041039742,0.0109392035925969,False
809,ENSG00000170035.16,0.0974723775197578,0.0079779702598766,False
810,ENSG00000092820.18,0.0298358278936628,0.0758120515716418,False
811,ENSG00000100342.21,0.0054160868742918,0.1002836830540079,False
812,ENSG00000024526.17,0.0069282010993115,0.0988022142446202,False
813,ENSG00000059122.17,0.1031921349484191,0.0025602510781654,False
814,ENSG00000159885.14,0.0739152370336285,0.0318732991763733,False
815,ENSG00000182613.3,0.0505477163285716,0.0552455500472887,False
816,ENSG00000092010.15,0.0005053828472494,0.1054491827887045,False
817,ENSG00000145882.11,0.0213750559717132,0.0846461265400603,False
818,ENSG00000100767.17,0.099943459315016,0.0061672955380504,False
819,ENSG00000185811.19,0.0963719877805171,0.0099647278856486,False
820,ENSG00000166501.14,0.0697554896040457,0.036831210134918,False
