gene_id,gene_name
ENSG00000007541.17,PIGQ
ENSG00000007545.16,CRAMP1
ENSG00000007866.22,TEAD3
ENSG00000007908.16,SELE
ENSG00000007923.16,DNAJC11
ENSG00000007933.13,FMO3
ENSG00000007944.15,MYLIP
ENSG00000007952.18,NOX1
ENSG00000007968.7,E2F2
ENSG00000008018.9,PSMB1
ENSG00000008056.14,SYN1
ENSG00000008083.14,JARID2
ENSG00000008086.13,CDKL5
ENSG00000008118.10,CAMK1G
ENSG00000008128.23,CDK11A
ENSG00000008130.15,NADK
ENSG00000008196.13,TFAP2B
ENSG00000008197.5,TFAP2D
ENSG00000008226.20,DLEC1
ENSG00000008256.16,CYTH3
ENSG00000008277.14,ADAM22
ENSG00000008282.9,SYPL1
ENSG00000008283.16,CYB561
ENSG00000008294.21,SPAG9
ENSG00000008300.17,CELSR3
ENSG00000008311.15,AASS
ENSG00000008323.15,PLEKHG6
ENSG00000008324.12,SS18L2
ENSG00000008382.16,MPND
ENSG00000008394.13,MGST1
ENSG00000008405.12,CRY1
ENSG00000008438.5,PGLYRP1
ENSG00000008441.18,NFIX
ENSG00000008513.16,ST3GAL1
ENSG00000008516.17,MMP25
ENSG00000008517.18,IL32
ENSG00000008710.20,PKD1
ENSG00000008735.14,MAPK8IP2
ENSG00000008838.20,MED24
ENSG00000008853.17,RHOBTB2
ENSG00000008869.12,HEATR5B
ENSG00000008952.17,SEC62
ENSG00000008988.11,RPS20
ENSG00000009307.16,CSDE1
ENSG00000009335.18,UBE3C
ENSG00000009413.16,REV3L
ENSG00000009694.13,TENM1
ENSG00000009709.12,PAX7
ENSG00000009724.17,MASP2
ENSG00000009765.15,IYD
ENSG00000009780.16,FAM76A
ENSG00000009790.15,TRAF3IP3
ENSG00000009830.12,POMT2
ENSG00000009844.16,VTA1
ENSG00000009950.16,MLXIPL
ENSG00000009954.11,BAZ1B
ENSG00000010017.13,RANBP9
ENSG00000010030.14,ETV7
ENSG00000010072.16,SPRTN
ENSG00000010165.20,EEF1AKNMT
ENSG00000010219.13,DYRK4
ENSG00000010244.19,ZNF207
ENSG00000010256.11,UQCRC1
ENSG00000010270.14,STARD3NL
ENSG00000010278.15,CD9
ENSG00000010282.15,HHATL
ENSG00000010292.13,NCAPD2
ENSG00000010295.20,IFFO1
ENSG00000010310.9,GIPR
ENSG00000010318.21,PHF7
ENSG00000010319.7,SEMA3G
ENSG00000010322.16,NISCH
ENSG00000010327.10,STAB1
ENSG00000010361.14,FUZ
ENSG00000010379.16,SLC6A13
ENSG00000010404.18,IDS
ENSG00000010438.17,PRSS3
ENSG00000010539.12,ZNF200
ENSG00000010610.10,CD4
ENSG00000010626.15,LRRC23
ENSG00000010671.16,BTK
ENSG00000010704.18,HFE
ENSG00000010803.16,SCMH1
ENSG00000010810.17,FYN
ENSG00000010818.10,HIVEP2
ENSG00000010932.17,FMO1
ENSG00000011007.12,ELOA
ENSG00000011009.11,LYPLA2
ENSG00000011021.23,CLCN6
ENSG00000011028.14,MRC2
ENSG00000011052.21,NME1-NME2
ENSG00000011083.9,SLC6A7
ENSG00000011105.14,TSPAN9
ENSG00000011114.15,BTBD7
ENSG00000011132.12,APBA3
ENSG00000011143.19,MKS1
ENSG00000011198.10,ABHD5
ENSG00000011201.12,ANOS1
ENSG00000011243.18,AKAP8L
ENSG00000011258.16,MBTD1
ENSG00000011260.14,UTP18
ENSG00000011275.19,RNF216
ENSG00000011295.16,TTC19
ENSG00000011304.22,PTBP1
ENSG00000011332.19,DPF1
ENSG00000011347.10,SYT7
ENSG00000011376.12,LARS2
ENSG00000011405.13,PIK3C2A
ENSG00000011422.12,PLAUR
ENSG00000011426.11,ANLN
ENSG00000011451.21,WIZ
ENSG00000011454.18,RABGAP1
ENSG00000011465.18,DCN
ENSG00000011478.13,QPCTL
ENSG00000011485.15,PPP5C
ENSG00000011523.14,CEP68
ENSG00000011566.15,MAP4K3
ENSG00000011590.14,ZBTB32
ENSG00000011600.12,TYROBP
ENSG00000011638.11,TMEM159
ENSG00000011677.13,GABRA3
ENSG00000012048.23,BRCA1
